Nombre,Año,Episodios,Tipo,Link,Sinopsis
Chasing Life,2014 - 2015,34,Drama,https://www.starz.com/ar/es/series/chasing-life/45516,"Chasing Life sigue a April, una periodista de veintitantos años cuya vida finalmente se está arreglando. Cuando repentinamente le diagnostican cáncer, su mundo se pone de"
The Kill Point,2007,8,"Acción, Crimen",https://www.starz.com/ar/es/series/the-kill-point/45612,"""Este drama lleno de testosterona trata de un grupo de veteranos de guerra insensibilizados, quienes se enfrentan a un negociador de rehenes que se niega a retroceder"
The Little Drummer Girl,2018,6,"Drama, Miniserie",https://www.starz.com/ar/es/series/the-little-drummer-girl/45715,Un asesino palestino está focalizándose en israelíes prominentes. Los israelíes reclutan una actriz inglesa para infiltrarse en su célula terrorista. Esto requerirá todo su
Fleming: El Hombre Que Sería Bond,2014,4,Drama,https://www.starz.com/ar/es/series/fleming-el-hombre-que-ser%C3%ADa-bond/45716,"Drama de acción basado en la historia de la vida de Ian Fleming, creador de James Bond."
Rosemary's Baby,2014,2,Suspenso,https://www.starz.com/ar/es/series/rosemarys-baby/45825,"""Rosemary's Baby"" es la nueva versión de la novela de superventas de Ira levin, que sigue a una mujer embarazada quien descubre una trama siniestra alrededor de su bebé no"
P-Valley,2020,9,Drama,https://www.starz.com/ar/es/series/p-valley/46156,En la profundidad de Mississippi Delta yace un oasis de diversión y glamour en un momento difícil para la existencia humana donde la belleza es difícil de encontrar.
Manhunt: Deadly Games,2020,10,"Crimen, Drama",https://www.starz.com/ar/es/series/manhunt-deadly-games/59063,"Después de un mortal ataque terrorista en los Juegos Olímpicos de 1996, los agentes del FBI cazan a un escurridizo atacante en serie, mientras que un hombre inocente acusado"
No Man's Land,2020,9,"Drama, Guerra",https://www.starz.com/ar/es/series/no-mans-land/61940,"La hermana de Antoine lleva varios años declarada muerta, pero él está convencido de que está viva. Viaja a Siria, donde las combatientes kurdas luchan contra ISIS."
Step Up,2018 - 2019,20,"Drama, Música",https://www.starz.com/ar/es/series/step-up/62777,"Basada en las películas favoritas de los fans, la serie Step Up es un drama emocionante, sexy, y lleno de música sobre bailarines en una escuela de artes escénicas"
Manhunt: Deadly Games,2020,10,"Crimen, Drama",https://www.starz.com/ar/es/series/manhunt-deadly-games/59063,"Después de un mortal ataque terrorista en los Juegos Olímpicos de 1996, los agentes del FBI cazan a un escurridizo atacante en serie, mientras que un hombre inocente acusado"
